,value,variable,date
372,7.969294347356534,1996,8/25
373,7.99482839047134,1996,8/26
374,8.006813341586328,1996,8/27
375,8.122704220447547,1996,8/28
376,8.120641705661031,1996,8/29
377,8.254061662530251,1996,8/30
378,8.399433634952292,1996,8/31
379,8.2922767837031,1996,9/1
380,8.345455607726008,1996,9/2
381,8.340026428263187,1996,9/3
382,8.477365880012178,1996,9/4
383,8.455463567703466,1996,9/5
384,8.556135961190465,1996,9/6
385,8.777196899257182,1996,9/7
386,8.813968086469627,1996,9/8
387,9.029516554994535,1996,9/9
388,9.280657313764607,1996,9/10
389,9.300821181109862,1996,9/11
390,9.41279421611036,1996,9/12
391,9.41423521950038,1996,9/13
392,9.541837744153947,1996,9/14
393,9.570947953023873,1996,9/15
394,9.776822024441334,1996,9/16
395,9.813844944116944,1996,9/17
396,9.91653270843307,1996,9/18
397,10.060483005483542,1996,9/19
398,9.847279510727605,1996,9/20
399,9.930318980329474,1996,9/21
400,9.943526471556204,1996,9/22
401,9.996982665481218,1996,9/23
402,10.162282687528412,1996,9/24
403,10.380550402884465,1996,9/25
404,10.422783825042053,1996,9/26
405,10.235608978552085,1996,9/27
406,10.410104584519688,1996,9/28
407,10.361502257122488,1996,9/29
408,10.361502257122488,1996,9/30
409,10.361502257122488,1996,10/1
410,10.361502257122488,1996,10/2
411,10.361502257122488,1996,10/3
412,10.361502257122488,1996,10/4
413,10.361502257122488,1996,10/5
414,10.361502257122488,1996,10/6
415,10.361502257122488,1996,10/7
416,10.361502257122488,1996,10/8
417,10.361502257122488,1996,10/9
418,10.361502257122488,1996,10/10
419,10.361502257122488,1996,10/31
420,0.0,1997,3/16
421,0.0,1997,3/17
422,0.0,1997,3/18
423,0.0,1997,3/19
424,0.0,1997,3/20
425,0.0,1997,3/21
426,0.0,1997,3/22
427,0.0,1997,3/23
428,0.0,1997,3/24
429,0.0,1997,3/25
430,0.0,1997,3/26
431,0.0,1997,3/27
432,0.0,1997,3/28
433,0.0,1997,3/29
434,0.0,1997,3/30
435,0.0,1997,3/31
436,0.4534196569508541,1997,4/1
437,0.8031084998299995,1997,4/2
438,0.7674411727963492,1997,4/3
439,0.933896794788995,1997,4/4
440,1.067685518288296,1997,4/5
441,1.0356692011000006,1997,4/6
442,1.0781546053867992,1997,4/7
443,1.0588981775551274,1997,4/8
444,1.188153888915721,1997,4/9
445,1.2431654239615861,1997,4/10
446,1.5151342370952623,1997,4/11
447,1.7207889434199057,1997,4/12
448,1.6304940584611238,1997,4/13
449,1.7291888030049503,1997,4/14
450,1.8698288837409605,1997,4/15
451,1.9908574319780297,1997,4/16
452,2.1690429952388004,1997,4/17
453,2.2483911669621945,1997,4/18
454,2.366573963263968,1997,4/19
455,2.277802918184998,1997,4/20
456,2.1630091902560813,1997,4/21
457,2.4076392927898254,1997,4/22
458,2.3592442595890093,1997,4/23
459,2.3840310872876587,1997,4/24
460,2.4902495697616502,1997,4/25
461,2.549120150653,1997,4/26
462,2.6682475836189745,1997,4/27
463,2.769662173278592,1997,4/28
464,2.7744405274581023,1997,4/29
465,2.848322671294214,1997,4/30
466,3.0033363109975775,1997,5/1
467,3.121303152514896,1997,5/2
468,2.9324343103465473,1997,5/3
469,3.136579872687776,1997,5/4
470,3.2404252187540528,1997,5/5
471,3.342070979053812,1997,5/6
472,3.426593587070428,1997,5/7
473,3.485987745028132,1997,5/8
474,3.4818636491021913,1997,5/9
475,3.5010016728925315,1997,5/10
476,3.4949941561765674,1997,5/11
477,3.6526046692368457,1997,5/12
478,3.6794804042612994,1997,5/13
479,3.883604832634705,1997,5/14
480,3.831717004986471,1997,5/15
481,3.8204913064996973,1997,5/16
482,3.748886162665467,1997,5/17
483,3.6659263788184835,1997,5/18
484,3.6877859078889212,1997,5/19
485,3.664793543474239,1997,5/20
486,3.734271264300414,1997,5/21
487,3.79179729462901,1997,5/22
488,3.713546030602894,1997,5/23
489,3.7689466760972503,1997,5/24
490,3.778855676147543,1997,5/25
491,3.7894446822165375,1997,5/26
492,3.690445347866582,1997,5/27
493,3.8032754890128064,1997,5/28
494,3.91999617351963,1997,5/29
495,3.7667925046244375,1997,5/30
496,3.857885936763324,1997,5/31
497,3.7975157088936506,1997,6/1
498,3.816367512413747,1997,6/2
499,3.7944230422534937,1997,6/3
500,3.8895435895850703,1997,6/4
501,3.946673850645496,1997,6/5
502,4.023039561265178,1997,6/6
503,3.959993943039441,1997,6/7
504,4.030667737590972,1997,6/8
505,4.191073947501702,1997,6/9
506,4.3725779643048,1997,6/10
507,4.402394396889263,1997,6/11
508,4.387936041942031,1997,6/12
509,4.306768634296049,1997,6/13
510,4.476554183673394,1997,6/14
511,4.608893105996672,1997,6/15
512,4.584317355973241,1997,6/16
513,4.717346687966004,1997,6/17
514,4.554607858724273,1997,6/18
515,4.696121468332424,1997,6/19
516,4.713799473876122,1997,6/20
517,4.970231184343404,1997,6/21
518,5.22219759512865,1997,6/22
519,5.07685554469168,1997,6/23
520,5.274002205865944,1997,6/24
521,5.549887070100034,1997,6/25
522,5.549236134257075,1997,6/26
523,5.522454214256142,1997,6/27
524,5.406311555008659,1997,6/28
525,5.599953644677097,1997,6/29
526,5.6769592124726005,1997,6/30
527,5.723137090428737,1997,7/1
528,5.624171104805942,1997,7/2
529,5.60366810573003,1997,7/3
530,5.781981292252621,1997,7/4
531,5.958202584834077,1997,7/5
532,6.026296876554699,1997,7/6
533,6.026296876554699,1997,7/7
534,6.026296876554699,1997,7/8
535,6.026296876554699,1997,7/9
536,6.12781768106564,1997,7/10
537,6.228444990987215,1997,7/11
538,6.3616404929731445,1997,7/12
539,6.455660714856271,1997,7/13
540,6.56785329344864,1997,7/14
541,6.668505723809322,1997,7/15
542,6.589271917769018,1997,7/16
543,6.612063681851052,1997,7/17
544,6.570870025939896,1997,7/18
545,6.592304511744807,1997,7/19
546,6.7149493239340785,1997,7/20
547,6.861355161882841,1997,7/21
548,6.8958855991330195,1997,7/22
549,6.923552656945003,1997,7/23
550,6.813588046169617,1997,7/24
551,6.9103203825938655,1997,7/25
552,6.963645456627337,1997,7/26
553,7.137736744006541,1997,7/27
554,7.162304747925853,1997,7/28
555,7.370985859374154,1997,7/29
556,7.548323267324062,1997,7/30
557,7.557551078728017,1997,7/31
558,7.53868557070091,1997,8/1
559,7.6452574128493,1997,8/2
560,7.738396963939624,1997,8/3
561,7.850266628442401,1997,8/4
562,7.961419729021938,1997,8/5
563,7.816363230762225,1997,8/6
564,7.700354380910711,1997,8/7
565,7.739935605704218,1997,8/8
566,7.5850512212914785,1997,8/9
