,deviation,year,date
309,5.163440319,1996,6/23
310,5.07572017,1996,6/24
311,5.153032036,1996,6/25
312,5.173927609,1996,6/26
313,5.169105733,1996,6/27
314,5.006440007,1996,6/28
315,5.228583707,1996,6/29
316,5.433739853,1996,6/30
317,5.399835613,1996,7/1
318,5.52563432,1996,7/2
319,5.660919205,1996,7/3
320,5.677693008,1996,7/4
321,5.711931705,1996,7/5
322,5.844754933,1996,7/6
323,5.815772358,1996,7/7
324,5.815772358,1996,7/8
325,5.815772358,1996,7/9
326,5.815772358,1996,7/10
327,5.713955441,1996,7/11
328,5.961400761,1996,7/12
329,6.119207883,1996,7/13
330,6.19092191,1996,7/14
331,6.139565647,1996,7/15
332,6.358432281,1996,7/16
333,6.3878776,1996,7/17
334,6.451446152,1996,7/18
335,6.225789646,1996,7/19
336,6.129168154,1996,7/20
337,6.285951037,1996,7/21
338,6.239635124,1996,7/22
339,6.196455928,1996,7/23
340,6.306414505,1996,7/24
341,6.122329868,1996,7/25
342,6.245351439,1996,7/26
343,6.292707093,1996,7/27
344,6.23265641,1996,7/28
345,6.324698658,1996,7/29
346,6.298030584,1996,7/30
347,6.443292195,1996,7/31
348,6.407192734,1996,8/1
349,6.492785629,1996,8/2
350,6.363719905,1996,8/3
351,6.711363247,1996,8/4
352,6.719630234,1996,8/5
353,6.972945856,1996,8/6
354,6.936373675,1996,8/7
355,6.901268306,1996,8/8
356,6.899246311,1996,8/9
357,6.985317987,1996,8/10
358,7.249305337,1996,8/11
359,7.395611495,1996,8/12
360,7.474910824,1996,8/13
361,7.431656962,1996,8/14
362,7.512050411,1996,8/15
363,7.679946307,1996,8/16
364,7.728091852,1996,8/17
365,7.841799814,1996,8/18
366,7.927614988,1996,8/19
367,8.059817631,1996,8/20
368,7.93156893,1996,8/21
369,7.867431478,1996,8/22
370,7.757623776,1996,8/23
371,7.925583577,1996,8/24
372,7.969294347,1996,8/25
373,7.99482839,1996,8/26
374,8.006813342,1996,8/27
375,8.12270422,1996,8/28
376,8.120641706,1996,8/29
377,8.254061663,1996,8/30
378,8.399433635,1996,8/31
379,8.292276784,1996,9/1
380,8.345455608,1996,9/2
381,8.340026428,1996,9/3
382,8.47736588,1996,9/4
383,8.455463568,1996,9/5
384,8.556135961,1996,9/6
385,8.777196899,1996,9/7
386,8.813968086,1996,9/8
387,9.029516555,1996,9/9
388,9.280657314,1996,9/10
389,9.300821181,1996,9/11
390,9.412794216,1996,9/12
391,9.41423522,1996,9/13
392,9.541837744,1996,9/14
393,9.570947953,1996,9/15
394,9.776822024,1996,9/16
395,9.813844944,1996,9/17
396,9.916532708,1996,9/18
397,10.06048301,1996,9/19
398,9.847279511,1996,9/20
399,9.93031898,1996,9/21
400,9.943526472,1996,9/22
401,9.996982665,1996,9/23
402,10.16228269,1996,9/24
403,10.3805504,1996,9/25
404,10.42278383,1996,9/26
405,10.23560898,1996,9/27
406,10.41010458,1996,9/28
407,10.36150226,1996,9/29
408,-,1996,9/30
409,-,1996,10/1
410,-,1996,10/2
411,-,1996,10/3
412,-,1996,10/4
413,-,1996,10/5
414,-,1996,10/6
415,-,1996,10/7
416,-,1996,10/8
417,-,1996,10/9
418,-,1996,10/10
419,-,1996,10/31
420,-,1997,3/16
421,-,1997,3/17
422,-,1997,3/18
423,-,1997,3/19
424,-,1997,3/20
425,-,1997,3/21
426,-,1997,3/22
427,-,1997,3/23
428,-,1997,3/24
429,-,1997,3/25
430,-,1997,3/26
431,-,1997,3/27
432,-,1997,3/28
433,-,1997,3/29
434,-,1997,3/30
435,-,1997,3/31
436,0.453419657,1997,4/1
437,0.8031084998,1997,4/2
438,0.7674411728,1997,4/3
439,0.9338967948,1997,4/4
440,1.067685518,1997,4/5
441,1.035669201,1997,4/6
442,1.078154605,1997,4/7
443,1.058898178,1997,4/8
444,1.188153889,1997,4/9
445,1.243165424,1997,4/10
446,1.515134237,1997,4/11
447,1.720788943,1997,4/12
448,1.630494058,1997,4/13
449,1.729188803,1997,4/14
450,1.869828884,1997,4/15
451,1.990857432,1997,4/16
452,2.169042995,1997,4/17
453,2.248391167,1997,4/18
454,2.366573963,1997,4/19
455,2.277802918,1997,4/20
456,2.16300919,1997,4/21
457,2.407639293,1997,4/22
458,2.35924426,1997,4/23
459,2.384031087,1997,4/24
460,2.49024957,1997,4/25
461,2.549120151,1997,4/26
462,2.668247584,1997,4/27
463,2.769662173,1997,4/28
464,2.774440527,1997,4/29
465,2.848322671,1997,4/30
466,3.003336311,1997,5/1
467,3.121303153,1997,5/2
468,2.93243431,1997,5/3
469,3.136579873,1997,5/4
470,3.240425219,1997,5/5
471,3.342070979,1997,5/6
472,3.426593587,1997,5/7
473,3.485987745,1997,5/8
474,3.481863649,1997,5/9
475,3.501001673,1997,5/10
476,3.494994156,1997,5/11
477,3.652604669,1997,5/12
478,3.679480404,1997,5/13
479,3.883604833,1997,5/14
480,3.831717005,1997,5/15
481,3.820491306,1997,5/16
482,3.748886163,1997,5/17
483,3.665926379,1997,5/18
484,3.687785908,1997,5/19
485,3.664793543,1997,5/20
486,3.734271264,1997,5/21
487,3.791797295,1997,5/22
488,3.713546031,1997,5/23
489,3.768946676,1997,5/24
490,3.778855676,1997,5/25
491,3.789444682,1997,5/26
492,3.690445348,1997,5/27
493,3.803275489,1997,5/28
494,3.919996174,1997,5/29
495,3.766792505,1997,5/30
496,3.857885937,1997,5/31
497,3.797515709,1997,6/1
498,3.816367512,1997,6/2
499,3.794423042,1997,6/3
500,3.88954359,1997,6/4
501,3.946673851,1997,6/5
502,4.023039561,1997,6/6
503,3.959993943,1997,6/7
504,4.030667738,1997,6/8
505,4.191073948,1997,6/9
506,4.372577964,1997,6/10
507,4.402394397,1997,6/11
508,4.387936042,1997,6/12
509,4.306768634,1997,6/13
510,4.476554184,1997,6/14
511,4.608893106,1997,6/15
512,4.584317356,1997,6/16
513,4.717346688,1997,6/17
514,4.554607859,1997,6/18
515,4.696121468,1997,6/19
516,4.713799474,1997,6/20
517,4.970231184,1997,6/21
518,5.222197595,1997,6/22
519,5.076855545,1997,6/23
520,5.274002206,1997,6/24
521,5.54988707,1997,6/25
522,5.549236134,1997,6/26
523,5.522454214,1997,6/27
524,5.406311555,1997,6/28
525,5.599953645,1997,6/29
526,5.676959212,1997,6/30
527,5.72313709,1997,7/1
528,5.624171105,1997,7/2
529,5.603668106,1997,7/3
530,5.781981292,1997,7/4
531,5.958202585,1997,7/5
532,6.026296877,1997,7/6
533,6.026296877,1997,7/7
534,6.026296877,1997,7/8
535,6.026296877,1997,7/9
536,6.127817681,1997,7/10
537,6.228444991,1997,7/11
538,6.361640493,1997,7/12
539,6.455660715,1997,7/13
540,6.567853293,1997,7/14
541,6.668505724,1997,7/15
542,6.589271918,1997,7/16
543,6.612063682,1997,7/17
544,6.570870026,1997,7/18
545,6.592304512,1997,7/19
546,6.714949324,1997,7/20
547,6.861355162,1997,7/21
548,6.895885599,1997,7/22
549,6.923552657,1997,7/23
550,6.813588046,1997,7/24
551,6.910320383,1997,7/25
552,6.963645457,1997,7/26
553,7.137736744,1997,7/27
554,7.162304748,1997,7/28
555,7.370985859,1997,7/29
556,7.548323267,1997,7/30
557,7.557551079,1997,7/31
558,7.538685571,1997,8/1
559,7.645257413,1997,8/2
560,7.738396964,1997,8/3
561,7.850266628,1997,8/4
562,7.961419729,1997,8/5
563,7.816363231,1997,8/6
564,7.700354381,1997,8/7
565,7.739935606,1997,8/8
566,7.585051221,1997,8/9
567,7.517236189,1997,8/10
568,7.648736136,1997,8/11
569,7.657211806,1997,8/12
570,7.557257228,1997,8/13
571,7.650692201,1997,8/14
572,7.623385589,1997,8/15
573,7.630842064,1997,8/16
574,7.721776811,1997,8/17
575,7.803494914,1997,8/18
576,8.032020639,1997,8/19
577,8.209949093,1997,8/20
578,8.292130566,1997,8/21
579,8.507091835,1997,8/22
580,8.752170913,1997,8/23
581,8.809543112,1997,8/24
582,8.668405811,1997,8/25
583,8.792146895,1997,8/26
584,8.727751155,1997,8/27
585,8.587711352,1997,8/28
586,8.819075449,1997,8/29
587,8.731740858,1997,8/30
588,8.835905527,1997,8/31
589,8.809032852,1997,9/1
590,8.755145727,1997,9/2
591,8.533026353,1997,9/3
592,8.555552008,1997,9/4
593,8.510813191,1997,9/5
594,8.525975874,1997,9/6
595,8.486548432,1997,9/7
596,8.32069852,1997,9/8
597,8.279050596,1997,9/9
598,8.185049399,1997,9/10
599,8.119727035,1997,9/11
600,8.215446077,1997,9/12
601,8.031731064,1997,9/13
602,8.080860134,1997,9/14
603,8.216814865,1997,9/15
604,8.399322846,1997,9/16
605,8.506614523,1997,9/17
606,8.56401363,1997,9/18
607,8.659522185,1997,9/19
608,8.626168231,1997,9/20
609,8.664121752,1997,9/21
610,8.885726003,1997,9/22
611,9.107970059,1997,9/23
612,9.039529926,1997,9/24
613,9.069072825,1997,9/25
614,9.146764388,1997,9/26
615,9.288890523,1997,9/27
616,9.097089676,1997,9/28
617,-,1997,9/29
618,-,1997,9/30
619,-,1997,10/1
620,-,1997,10/2
621,-,1997,10/3
622,-,1997,10/4
623,-,1997,10/5
624,-,1997,10/6
625,-,1997,10/7
626,-,1997,10/8
627,-,1997,10/9
628,-,1997,10/10
629,-,1997,10/31
630,-,1998,3/16
631,-,1998,3/17
632,-,1998,3/18
633,-,1998,3/19
634,-,1998,3/20
635,-,1998,3/21
636,-,1998,3/22
637,-,1998,3/23
638,-,1998,3/24
639,-,1998,3/25
640,-,1998,3/26
641,-,1998,3/27
642,-,1998,3/28
643,-,1998,3/29
644,0,1998,3/30
645,0.3251511668,1998,3/31
646,0.6197401189,1998,4/1
647,0.7726074723,1998,4/2
648,0.9703897582,1998,4/3
649,1.238480628,1998,4/4
650,1.361885427,1998,4/5
651,1.490197515,1998,4/6
652,1.617449222,1998,4/7
653,1.534094871,1998,4/8
654,1.669682368,1998,4/9
655,1.736434137,1998,4/10
656,1.827311374,1998,4/11
657,2.007072157,1998,4/12
658,2.139741653,1998,4/13
659,2.39851419,1998,4/14
660,2.400281544,1998,4/15
661,2.298039651,1998,4/16
662,2.356706957,1998,4/17
663,2.491099485,1998,4/18
664,2.545223797,1998,4/19
665,2.516733384,1998,4/20
666,2.725569913,1998,4/21
667,2.833992702,1998,4/22
668,2.92402569,1998,4/23
669,2.925659575,1998,4/24
670,3.038362543,1998,4/25
671,2.977528021,1998,4/26
672,3.1302652,1998,4/27
673,3.213582897,1998,4/28
674,3.349334785,1998,4/29
675,3.356501261,1998,4/30
676,3.41946963,1998,5/1
677,3.604289241,1998,5/2
678,3.57945696,1998,5/3
679,3.561036831,1998,5/4
680,3.72257163,1998,5/5
681,3.695595718,1998,5/6
682,3.67798901,1998,5/7
683,3.827553141,1998,5/8
684,3.802582643,1998,5/9
685,4.015416626,1998,5/10
